Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-06_DayMaxProfit,2026-07-06_DayMaxLoss,2026-07-06_MaxProfit,2026-07-06_MaxLoss,2026-07-06_MaxDrawdown,2026-07-06_CurrentPnL,2026-07-07_DayMaxProfit,2026-07-07_DayMaxLoss,2026-07-07_MaxProfit,2026-07-07_MaxLoss,2026-07-07_MaxDrawdown,2026-07-07_CurrentPnL,2026-07-08_DayMaxProfit,2026-07-08_DayMaxLoss,2026-07-08_MaxProfit,2026-07-08_MaxLoss,2026-07-08_MaxDrawdown,2026-07-08_CurrentPnL,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL
META,Sell,582.9,583.8766589459783,TP Hit,583.8766589459783,2026-07-06,-0.17,-3.55,-0.17,-3.55,-3.55,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEG,Buy,239.25,265.45,TP Hit,265.45,2026-07-14,3.41,0.82,3.41,0.82,-2.59,2.77,2.63,-0.33,3.41,-0.33,-3.74,0.19,2.32,-1.12,3.41,-1.12,-4.53,2.20,5.17,2.71,5.17,-1.12,-4.53,4.80,5.63,4.10,5.63,-1.12,-4.53,5.07,7.67,4.70,7.67,-1.12,-4.53,7.66,10.95,6.66,10.95,-1.12,-4.53,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYM,Sell,42.74,42.12780058288574,TP Hit,42.12780058288574,2026-07-07,-0.30,-4.27,-0.30,-4.27,-4.27,-4.02,1.43,-3.37,1.43,-4.27,-4.80,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,Sell,52.58,49.58522575425101,TP Hit,49.58522575425101,2026-07-06,5.70,-0.27,5.70,-0.27,-5.96,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBHT,Sell,285.83,272.0157559814453,TP Hit,272.0157559814453,2026-07-08,3.27,-0.29,3.27,-0.29,-3.56,2.83,4.42,1.90,4.42,-0.29,-3.56,3.79,4.83,3.09,4.83,-0.29,-3.56,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,Sell,29.32,27.55708055114746,Open,,,1.60,-3.14,1.60,-3.14,-4.74,-1.13,-0.03,-4.71,1.60,-4.71,-6.31,-1.16,3.48,-0.58,3.48,-4.71,-6.31,-0.48,1.94,-5.05,3.48,-5.05,-8.53,-4.81,-4.95,-12.72,3.48,-12.72,-16.20,-5.35,-1.13,-6.07,3.48,-12.72,-16.20,-4.64,-1.57,-8.63,3.48,-12.72,-16.20,-8.29,-5.25,-10.40,3.48,-12.72,-16.20,-6.65,-2.00,-8.41,3.48,-12.72,-16.20,-2.97,2.39,-1.26,3.48,-12.72,-16.20,1.13,1.79,-4.54,3.48,-12.72,-16.20,-1.67,-1.26,-4.62,3.48,-12.72,-16.20,-1.88,1.53,-2.59,3.48,-12.72,-16.20,0.17,5.08,0.44,5.08,-12.72,-16.20,1.30,4.02,-0.72,5.08,-12.72,-16.20,2.39,0.27,-5.53,5.08,-12.72,-16.20,-3.82,-1.40,-8.70,5.08,-12.72,-16.20,-8.56,-6.17,-12.04,5.08,-12.72,-17.12,-9.28,-8.13,-14.19,5.08,-14.19,-19.27,-13.71,-3.85,-12.01,5.08,-14.19,-19.27,-8.15
WAL,Sell,81.54,79.30575811767578,TP Hit,79.30575811767578,2026-07-08,0.91,-1.55,0.91,-1.55,-2.45,-1.18,-0.26,-2.47,0.91,-2.47,-3.38,-0.34,2.74,0.09,2.74,-2.47,-3.38,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXO,Sell,26.61,25.75380012512207,TP Hit,25.75380012512207,2026-07-24,2.14,-2.63,2.14,-2.63,-4.77,0.08,1.13,-1.62,2.14,-2.63,-4.77,-0.98,2.74,-4.55,2.74,-4.55,-7.29,-0.94,-0.04,-3.38,2.74,-4.55,-7.29,-0.90,2.41,-1.20,2.74,-4.55,-7.29,1.35,0.75,-3.23,2.74,-4.55,-7.29,-1.80,-3.00,-7.78,2.74,-7.78,-10.52,-5.37,-0.64,-7.29,2.74,-7.78,-10.52,-1.73,1.20,-9.06,2.74,-9.06,-11.80,-7.25,-5.15,-10.86,2.74,-10.86,-13.60,-10.07,-6.65,-11.42,2.74,-11.42,-14.16,-8.49,-7.93,-12.36,2.74,-12.36,-15.10,-10.11,-6.66,-10.26,2.74,-12.36,-15.10,-7.85,-3.80,-8.94,2.74,-12.36,-15.10,-4.36,3.22,-0.11,3.22,-12.36,-15.10,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELE,Sell,28.14,26.56180065917969,TP Hit,26.56180065917969,2026-07-06,5.61,-0.85,5.61,-0.85,-6.46,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FWRG,Sell,13.09,11.310120323181152,Open,,,4.35,-1.30,4.35,-1.30,-5.65,1.22,2.80,-0.15,4.35,-1.30,-5.65,1.76,7.79,2.60,7.79,-1.30,-5.65,5.19,6.11,2.37,7.79,-1.30,-5.65,4.74,5.19,2.06,7.79,-1.30,-5.73,4.81,7.18,1.99,7.79,-1.30,-5.80,6.80,8.17,6.04,8.17,-1.30,-5.80,7.26,7.91,3.86,8.17,-1.30,-5.80,7.72,8.02,5.58,8.17,-1.30,-5.80,6.95,8.71,2.75,8.71,-1.30,-5.96,4.89,8.40,4.28,8.71,-1.30,-5.96,6.57,8.10,4.51,8.71,-1.30,-5.96,5.12,7.03,3.74,8.71,-1.30,-5.96,5.73,9.01,7.18,9.01,-1.30,-5.96,8.63,8.86,5.42,9.01,-1.30,-5.96,7.41,5.81,1.15,9.01,-1.30,-7.86,1.57,1.95,-0.99,9.01,-1.30,-10.00,0.69,1.60,-2.29,9.01,-2.29,-11.30,-0.84,-0.23,-3.90,9.01,-3.90,-12.91,-1.91,3.82,-2.67,9.01,-3.90,-12.91,1.83
